Training with hyperparameters: p_pddm=3.2e+02, r_mid_point_mini=3.2e+02
Training data: /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_100_setting_1_train.npz
Test data:     /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_100_setting_1_test.npz
Loaded data with shape [3601,82]
Defining graph...

Training on experiment 1/100...
0	Obj: 55749.312,	F: 6.563,	Cf: 7.151,	PDDM: 1.8e+02,	mid_p: 0.063,	Val: 6.712,	ValObj: 54852.79
100	Obj: 2291.215,	F: 5.466,	Cf: 6.066,	PDDM: 7.1,	mid_p: 0.001,	Val: 5.643,	ValObj: 2381.71
200	Obj: 2094.570,	F: 4.884,	Cf: 4.990,	PDDM: 6.6,	mid_p: 0.00039,	Val: 5.045,	ValObj: 1862.05
300	Obj: 2363.881,	F: 4.875,	Cf: 5.163,	PDDM: 7.4,	mid_p: 0.00011,	Val: 5.039,	ValObj: 2182.06
400	Obj: 5290.619,	F: 4.879,	Cf: 5.116,	PDDM: 17,	mid_p: 0.00011,	Val: 5.042,	ValObj: 5101.53
500	Obj: 4118.111,	F: 4.880,	Cf: 5.291,	PDDM: 13,	mid_p: 0.00011,	Val: 5.046,	ValObj: 3839.96
600	Obj: 1860.002,	F: 4.877,	Cf: 5.258,	PDDM: 5.8,	mid_p: 0.00011,	Val: 5.043,	ValObj: 1749.28
700	Obj: 1845.746,	F: 4.888,	Cf: 4.962,	PDDM: 5.8,	mid_p: 0.00012,	Val: 5.049,	ValObj: 1619.92
800	Obj: 1802.622,	F: 4.873,	Cf: 5.085,	PDDM: 5.6,	mid_p: 0.00012,	Val: 5.036,	ValObj: 1661.28
900	Obj: 1081.250,	F: 4.879,	Cf: 5.211,	PDDM: 3.3,	mid_p: 0.00012,	Val: 5.043,	ValObj: 926.44
1000	Obj: 2045.497,	F: 4.876,	Cf: 5.015,	PDDM: 6.4,	mid_p: 0.00013,	Val: 5.038,	ValObj: 1844.10
1100	Obj: 4073.146,	F: 4.876,	Cf: 4.989,	PDDM: 13,	mid_p: 0.00013,	Val: 5.039,	ValObj: 3821.71
1200	Obj: 3326.707,	F: 4.875,	Cf: 4.995,	PDDM: 10,	mid_p: 0.00013,	Val: 5.038,	ValObj: 3140.89
1300	Obj: 1821.338,	F: 4.903,	Cf: 4.877,	PDDM: 5.7,	mid_p: 0.00013,	Val: 5.065,	ValObj: 1662.39
1400	Obj: 1094.161,	F: 4.875,	Cf: 5.086,	PDDM: 3.4,	mid_p: 0.00012,	Val: 5.039,	ValObj: 960.26
1500	Obj: 1163.233,	F: 4.871,	Cf: 5.012,	PDDM: 3.6,	mid_p: 0.00012,	Val: 5.035,	ValObj: 1026.36
1600	Obj: 1578.090,	F: 4.879,	Cf: 5.086,	PDDM: 4.9,	mid_p: 0.00012,	Val: 5.043,	ValObj: 1454.53
1700	Obj: 1765.203,	F: 4.869,	Cf: 5.166,	PDDM: 5.5,	mid_p: 0.00012,	Val: 5.034,	ValObj: 1579.19
1800	Obj: 4252.590,	F: 4.878,	Cf: 5.406,	PDDM: 13,	mid_p: 0.00012,	Val: 5.047,	ValObj: 4030.57
1900	Obj: 901.621,	F: 4.866,	Cf: 5.010,	PDDM: 2.8,	mid_p: 0.00012,	Val: 5.031,	ValObj: 828.10
1999	Obj: 4350.272,	F: 4.865,	Cf: 5.206,	PDDM: 14,	mid_p: 0.00012,	Val: 5.033,	ValObj: 4113.73
Saving result to results/ihdpresults_20211204_173511-515717/...

Training on experiment 2/100...
