Training with hyperparameters: p_pddm=1e+02, r_mid_point_mini=32
Training data: /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_100_setting_1_train.npz
Test data:     /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_100_setting_1_test.npz
Loaded data with shape [3601,82]
Defining graph...

Training on experiment 1/10...
0	Obj: 17544.582,	F: 6.563,	Cf: 7.151,	PDDM: 1.7e+02,	mid_p: 0.063,	Val: 6.712,	ValObj: 17262.32
100	Obj: 363.415,	F: 4.877,	Cf: 5.081,	PDDM: 3.4,	mid_p: 0.00029,	Val: 5.036,	ValObj: 313.40
200	Obj: 586.923,	F: 4.878,	Cf: 4.979,	PDDM: 5.6,	mid_p: 0.00026,	Val: 5.036,	ValObj: 533.30
300	Obj: 799.289,	F: 4.874,	Cf: 5.166,	PDDM: 7.8,	mid_p: 0.00027,	Val: 5.034,	ValObj: 741.95
400	Obj: 2002.031,	F: 4.881,	Cf: 5.102,	PDDM: 20,	mid_p: 0.00027,	Val: 5.041,	ValObj: 1936.25
500	Obj: 1122.584,	F: 4.880,	Cf: 5.288,	PDDM: 11,	mid_p: 0.00014,	Val: 5.041,	ValObj: 1043.43
600	Obj: 592.270,	F: 4.875,	Cf: 5.217,	PDDM: 5.7,	mid_p: 0.00014,	Val: 5.036,	ValObj: 558.92
700	Obj: 628.644,	F: 4.884,	Cf: 4.992,	PDDM: 6,	mid_p: 0.00014,	Val: 5.042,	ValObj: 550.79
800	Obj: 658.504,	F: 4.875,	Cf: 5.033,	PDDM: 6.3,	mid_p: 0.00013,	Val: 5.034,	ValObj: 617.06
900	Obj: 359.129,	F: 4.876,	Cf: 5.185,	PDDM: 3.4,	mid_p: 0.00011,	Val: 5.036,	ValObj: 309.34
1000	Obj: 784.854,	F: 4.877,	Cf: 4.998,	PDDM: 7.6,	mid_p: 0.00024,	Val: 5.035,	ValObj: 718.64
1100	Obj: 1234.134,	F: 4.878,	Cf: 4.976,	PDDM: 12,	mid_p: 0.00024,	Val: 5.036,	ValObj: 1160.94
1200	Obj: 1077.937,	F: 4.873,	Cf: 5.041,	PDDM: 11,	mid_p: 0.00024,	Val: 5.032,	ValObj: 1013.73
1300	Obj: 794.238,	F: 4.887,	Cf: 4.934,	PDDM: 7.7,	mid_p: 0.00024,	Val: 5.045,	ValObj: 741.15
1400	Obj: 320.799,	F: 4.874,	Cf: 5.040,	PDDM: 3,	mid_p: 0.00024,	Val: 5.033,	ValObj: 281.88
1500	Obj: 375.011,	F: 4.872,	Cf: 5.059,	PDDM: 3.5,	mid_p: 0.00024,	Val: 5.031,	ValObj: 329.99
1600	Obj: 458.798,	F: 4.897,	Cf: 5.488,	PDDM: 4.3,	mid_p: 3.3e-06,	Val: 5.063,	ValObj: 416.87
1700	Obj: 714.809,	F: 4.876,	Cf: 5.182,	PDDM: 6.9,	mid_p: 2.7e-06,	Val: 5.038,	ValObj: 650.99
1800	Obj: 1293.562,	F: 4.894,	Cf: 5.406,	PDDM: 13,	mid_p: 2.7e-06,	Val: 5.059,	ValObj: 1225.36
1900	Obj: 305.128,	F: 4.879,	Cf: 5.000,	PDDM: 2.8,	mid_p: 2.7e-06,	Val: 5.039,	ValObj: 279.58
1999	Obj: 1438.091,	F: 4.880,	Cf: 5.225,	PDDM: 14,	mid_p: 2.6e-06,	Val: 5.042,	ValObj: 1362.79
Saving result to results/ihdpresults_20211204_231425-973233/...

Training on experiment 2/10...
0	Obj: 24886.312,	F: 5.545,	Cf: 5.938,	PDDM: 2.5e+02,	mid_p: 0.0081,	Val: 5.768,	ValObj: 24794.70
100	Obj: 1257.875,	F: 5.347,	Cf: 5.389,	PDDM: 12,	mid_p: 0.00073,	Val: 5.576,	ValObj: 1236.58
200	Obj: 915.225,	F: 5.319,	Cf: 5.343,	PDDM: 8.9,	mid_p: 0.00073,	Val: 5.553,	ValObj: 904.48
300	Obj: 1748.631,	F: 5.321,	Cf: 5.338,	PDDM: 17,	mid_p: 0.00074,	Val: 5.563,	ValObj: 1736.21
