Training with hyperparameters: p_pddm=3.2e+02, r_mid_point_mini=0.1
Training data: /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_10_setting_6_train.npz
Test data:     /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_10_setting_6_test.npz
Loaded data with shape [3601,82]
Defining graph...

Training on experiment 1/10...
0	Obj: 51909.246,	F: 6.002,	Cf: 6.095,	PDDM: 1.6e+02,	mid_p: 0.067,	Val: 5.519,	ValObj: 65291.72
100	Obj: 8237.244,	F: 5.106,	Cf: 5.737,	PDDM: 26,	mid_p: 0.0022,	Val: 4.775,	ValObj: 2449.06
200	Obj: 3625.691,	F: 4.163,	Cf: 4.586,	PDDM: 11,	mid_p: 0.0022,	Val: 3.799,	ValObj: 8703.23
300	Obj: 1132.479,	F: 3.971,	Cf: 4.273,	PDDM: 3.5,	mid_p: 0.0022,	Val: 3.678,	ValObj: 8861.71
400	Obj: 2637.661,	F: 3.785,	Cf: 3.959,	PDDM: 8.3,	mid_p: 0.0023,	Val: 3.464,	ValObj: 8030.43
500	Obj: 2987.639,	F: 3.730,	Cf: 4.013,	PDDM: 9.4,	mid_p: 0.0023,	Val: 3.454,	ValObj: 7216.39
600	Obj: 2076.056,	F: 3.839,	Cf: 3.907,	PDDM: 6.5,	mid_p: 0.0023,	Val: 3.480,	ValObj: 10411.99
700	Obj: 3071.784,	F: 3.685,	Cf: 4.011,	PDDM: 9.7,	mid_p: 0.0026,	Val: 3.402,	ValObj: 7523.53
800	Obj: 2929.207,	F: 3.607,	Cf: 4.055,	PDDM: 9.2,	mid_p: 0.0027,	Val: 3.355,	ValObj: 6356.23
900	Obj: 3707.072,	F: 3.398,	Cf: 3.667,	PDDM: 12,	mid_p: 0.0027,	Val: 3.186,	ValObj: 5466.21
1000	Obj: 5361.416,	F: 3.090,	Cf: 3.517,	PDDM: 17,	mid_p: 0.0026,	Val: 3.008,	ValObj: 7700.92
1100	Obj: 2427.068,	F: 2.890,	Cf: 3.138,	PDDM: 7.7,	mid_p: 0.0025,	Val: 2.812,	ValObj: 8630.34
1200	Obj: 2100.960,	F: 2.911,	Cf: 3.165,	PDDM: 6.6,	mid_p: 0.0025,	Val: 2.813,	ValObj: 7930.68
